Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
5893,Operations Management,Improving Quality Through Workflow Optimization,94hrs 17min,1. What Is Quality and Knowing Your Measures,https://www.youtube.com/watch?v=MGtwLKH5xZ8,Module 1: Quality Foundations,1,12th,English/Hindi
5894,Operations Management,Improving Quality Through Workflow Optimization,,2. Workflow Optimization,https://www.youtube.com/watch?v=RVTEVudHRnA,Module 1: Quality Foundations,2,12th,English/Hindi
5895,Operations Management,Improving Quality Through Workflow Optimization,,3. Key System Setup Features,https://www.youtube.com/watch?v=uBFiogQUl9w,Module 2: Optimizing Workflow,3,12th,English/Hindi
5896,Operations Management,Improving Quality Through Workflow Optimization,,4. Working as a Team,https://www.youtube.com/watch?v=ZxmhcPuPzco,Module 2: Optimizing Workflow,4,12th,English/Hindi
5897,Operations Management,Improving Quality Through Workflow Optimization,,5. Change Control and Onboarding,https://www.youtube.com/watch?v=IWFB13sPSAg,Module 3: Teamwork and Change,5,12th,English/Hindi
5898,Operations Management,Improving Quality Through Workflow Optimization,,6. Reporting and Outcomes,https://www.youtube.com/watch?v=_Rj7W1gdGwQ,Module 3: Teamwork and Change,6,12th,English/Hindi
