Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
2211,Law,Code of Civil Procedure | 2022,191hrs 20min,Code of Civil Procedure 01 (Sections 1 & 2) I Telegram Link in Description,https://www.youtube.com/watch?v=cqm5e70UtL0
2212,Law,Code of Civil Procedure | 2022,,Code of Civil Procedure 02 (Sections 2-10) I Telegram Link in Description,https://www.youtube.com/watch?v=_XyYV1eOQbc
2213,Law,Code of Civil Procedure | 2022,,Code of Civil Procedure 03 (Section 11) I Telegram Link in Description,https://www.youtube.com/watch?v=cIzIyiEvnUs
2214,Law,Code of Civil Procedure | 2022,,Code of Civil Procedure 04 (Sections 11-12) I Telegram Link in Description,https://www.youtube.com/watch?v=xXrZJ6-vXAM
2215,Law,Code of Civil Procedure | 2022,,Code of Civil Procedure 05 (Sections 13-17) I Telegram Link in Description,https://www.youtube.com/watch?v=cT_OTOVbOmM
2216,Law,Code of Civil Procedure | 2022,,Code of Civil Procedure 06 (Sections 18-22) I Telegram Link in Description,https://www.youtube.com/watch?v=GuEZH81-Xhc
2217,Law,Code of Civil Procedure | 2022,,Code of Civil Procedure 07 (Sections 23-28) I Telegram Link in Description,https://www.youtube.com/watch?v=QzDS85wS2LU
2218,Law,Code of Civil Procedure | 2022,,Code of Civil Procedure 08 (Sections 29-34) I Telegram Link in Description,https://www.youtube.com/watch?v=B0VQNfkuCKc
2219,Law,Code of Civil Procedure | 2022,,Code of Civil Procedure 09 (Sections 35-35A) I Telegram Link in Description,https://www.youtube.com/watch?v=ytICnR07o8k
2220,Law,Code of Civil Procedure | 2022,,Code of Civil Procedure 10 (Sections 35B-39) I Telegram Link in Description,https://www.youtube.com/watch?v=Uj03kwEhZEs
2221,Law,Code of Civil Procedure | 2022,,Code of Civil Procedure 11 (Sections 40-44A) I Telegram Link in Description,https://www.youtube.com/watch?v=ntWqsObwoM0
2222,Law,Code of Civil Procedure | 2022,,Code of Civil Procedure 12 (Sections 45-50) I Telegram Link in Description,https://www.youtube.com/watch?v=n2USBNp8CKk
2223,Law,Code of Civil Procedure | 2022,,Code of Civil Procedure 13 (Sections 51-52) I Telegram Link in Description,https://www.youtube.com/watch?v=kySzX0EeKlA
2224,Law,Code of Civil Procedure | 2022,,Code of Civil Procedure 14 (Sections 53-59) I Telegram Link in Description,https://www.youtube.com/watch?v=B68Pdmin1TU
2225,Law,Code of Civil Procedure | 2022,,Code of Civil Procedure 15 (Sections 60) I Telegram Link in Description,https://www.youtube.com/watch?v=3Trn25cs7dg
2226,Law,Code of Civil Procedure | 2022,,Code of Civil Procedure 16 (Sections 61-65) I Telegram Link in Description,https://www.youtube.com/watch?v=wCzVoc52vMo
2227,Law,Code of Civil Procedure | 2022,,Code of Civil Procedure 17 (Sections 67-74) I Telegram Link in Description,https://www.youtube.com/watch?v=faHqmWBgll4
2228,Law,Code of Civil Procedure | 2022,,Code of Civil Procedure 18 (Sections 75-80) I Telegram Link in Description,https://www.youtube.com/watch?v=8Un7I82EIl8
