Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
7484,Chemistry,Short video Series on NanoTechnology,7hrs 23min,What is NanoTechnology?,https://www.youtube.com/watch?v=-K7Gs0Nj-5o,Module 1: Introduction to Nanotechnology,1,12th,English/Hindi
7485,Chemistry,Short video Series on NanoTechnology,,Why properties change at the nanoscale? (Surface area to volume ratio),https://www.youtube.com/watch?v=LHmiJcZpB10,Module 1: Introduction to Nanotechnology,1,12th,English/Hindi
7486,Chemistry,Short video Series on NanoTechnology,,Why properties change at the nanoscale? (Surface area to volume ratio),https://www.youtube.com/watch?v=LHmiJcZpB10,Module 2: Properties at the Nanoscale,2,12th,English/Hindi
7487,Chemistry,Short video Series on NanoTechnology,,Properties change at nano scale Examples,https://www.youtube.com/watch?v=8pvgH_CtF4c,Module 2: Properties at the Nanoscale,2,12th,English/Hindi
7488,Chemistry,Short video Series on NanoTechnology,,Top down approach and Bottom up approach to produce nanomaterials,https://www.youtube.com/watch?v=bLKsHAtxDrM,Module 3: Nanomaterials Synthesis: Top-Down & Bottom-Up,3,12th,English/Hindi
7489,Chemistry,Short video Series on NanoTechnology,,Ball Milling Method to produce nanomaterials,https://www.youtube.com/watch?v=6pSkixSwIZY,Module 3: Nanomaterials Synthesis: Top-Down & Bottom-Up,3,12th,English/Hindi
7490,Chemistry,Short video Series on NanoTechnology,,Physical Vapour Deposition Method (Resistive method and Sputtering method),https://www.youtube.com/watch?v=JR1EMlE15nQ,Module 4: Nanomaterials Synthesis Techniques,4,12th,English/Hindi
7491,Chemistry,Short video Series on NanoTechnology,,Sol gel method to produce nanomaterials,https://www.youtube.com/watch?v=3XpuoVVzT1A,Module 4: Nanomaterials Synthesis Techniques,4,12th,English/Hindi
7492,Chemistry,Short video Series on NanoTechnology,,Chemical Vapour Deposition Method to produce nanomaterials,https://www.youtube.com/watch?v=a_bR5xQ2xr8,Module 4: Nanomaterials Synthesis Techniques,4,12th,English/Hindi
7493,Chemistry,Short video Series on NanoTechnology,,"Prerequisites : Electron Scattering, Tunneling Effect, Electrostatic and Magnetic lens",https://www.youtube.com/watch?v=u7pD1hsTO9s,Module 5: Characterization Techniques: Fundamentals,5,12th,English/Hindi
7494,Chemistry,Short video Series on NanoTechnology,,Scanning Electron Microscope Construction and Working,https://www.youtube.com/watch?v=FVMdog5zzE4,Module 6: Electron Microscopy: SEM and TEM,6,12th,English/Hindi
7495,Chemistry,Short video Series on NanoTechnology,,Transmission Electron Microscope (TEM) Construction and Working,https://www.youtube.com/watch?v=oLSiKHMRNu0,Module 6: Electron Microscopy: SEM and TEM,6,12th,English/Hindi
7496,Chemistry,Short video Series on NanoTechnology,,Atomic Force Microscope (AFM) Construction and Working,https://www.youtube.com/watch?v=xnOqahYA6NU,Module 7: Atomic Force Microscopy (AFM),7,12th,English/Hindi
7497,Chemistry,Short video Series on NanoTechnology,,Applications of NanoTechnology,https://www.youtube.com/watch?v=JffF6AqWCHE,Module 8: Applications of Nanotechnology,8,12th,English/Hindi
7498,Chemistry,Short video Series on NanoTechnology,,Nanotechnology Nanofabrication by photolithography,https://www.youtube.com/watch?v=kW_EtKNiSxM,Module 9: Nanofabrication and Characterization,9,12th,English/Hindi
7499,Chemistry,Short video Series on NanoTechnology,,Determination of nanocrystallite size using X ray Diffraction,https://www.youtube.com/watch?v=jhUsoVGAEwk,Module 9: Nanofabrication and Characterization,9,12th,English/Hindi
7500,Chemistry,Short video Series on NanoTechnology,,X ray Photoelectron Spectroscopy,https://www.youtube.com/watch?v=ddxdueINd5s,Module 10: Advanced Characterization: XPS,10,12th,English/Hindi
7501,Chemistry,Short video Series on NanoTechnology,,How Rutherford backscattering is used to identify elemental composition of the material?,https://www.youtube.com/watch?v=CFrHM_D6ALc,Module 11: Advanced Characterization: Rutherford Backscattering,11,12th,English/Hindi
