Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
1790,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | IVANKA TRUMP: Think Big Again (English Subtitles),https://www.youtube.com/watch?v=_nUDuXRh3zM,Module 4: Calls for Change,4.4 ENGLISH SPEECH | IVANKA TRUMP: Think Big Again (English Subtitles),12th,English/Hindi
1791,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | QUEEN ELIZABETH: UK's Brexit Commitment (English Subtitles),https://www.youtube.com/watch?v=HpGU95aVckc,Module 5: Visions of the Future,5.1 ENGLISH SPEECH | QUEEN ELIZABETH: UK's Brexit Commitment (English Subtitles),12th,English/Hindi
1792,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | DONALD TRUMP: America Loves India (English Subtitles),https://www.youtube.com/watch?v=q9VUpHsnGYw,Module 5: Visions of the Future,5.2 ENGLISH SPEECH | DONALD TRUMP: America Loves India (English Subtitles),12th,English/Hindi
1793,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | CORY BOOKER: Let America Be America Again (English Subtitles),https://www.youtube.com/watch?v=zgDnvVaoV98,Module 5: Visions of the Future,5.3 ENGLISH SPEECH | CORY BOOKER: Let America Be America Again (English Subtitles),12th,English/Hindi
1794,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | BARACK OBAMA: Ignorance is NOT a Virtue (English Subtitles),https://www.youtube.com/watch?v=S4lTtvlFvyk,Module 5: Visions of the Future,5.4 ENGLISH SPEECH | BARACK OBAMA: Ignorance is NOT a Virtue (English Subtitles),12th,English/Hindi
1795,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | JENNIFER LAWRENCE: Anti-Corruption (English Subtitles),https://www.youtube.com/watch?v=BRfkJ2tkS94,Module 6:  The Power of Innovation,6.1 ENGLISH SPEECH | JENNIFER LAWRENCE: Anti-Corruption (English Subtitles),12th,English/Hindi
1796,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | JACINDA ARDEN: Will You Join Us? (English Subtitles),https://www.youtube.com/watch?v=yjo8chlSbQE,Module 6:  The Power of Innovation,6.2 ENGLISH SPEECH | JACINDA ARDEN: Will You Join Us? (English Subtitles),12th,English/Hindi
1797,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | IVANKA TRUMP: What Do We Stand For? (English Subtitles),https://www.youtube.com/watch?v=dTHloCrFB90,Module 6:  The Power of Innovation,6.3 ENGLISH SPEECH | IVANKA TRUMP: What Do We Stand For? (English Subtitles),12th,English/Hindi
1798,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | JUSTIN TRUDEAU: We’re All the Same (English Subtitles),https://www.youtube.com/watch?v=3AIoHLr8nTI,Module 7:  Challenges and Triumphs,7.1 ENGLISH SPEECH | JUSTIN TRUDEAU: We’re All the Same (English Subtitles),12th,English/Hindi
1799,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | US PRESIDENTIAL DEBATES 2020: Highlights (English Subtitles),https://www.youtube.com/watch?v=-Unkvng_jp8,Module 7:  Challenges and Triumphs,7.2 ENGLISH SPEECH | US PRESIDENTIAL DEBATES 2020: Highlights (English Subtitles),12th,English/Hindi
1800,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | KAMALA HARRIS: Victory Speech (English Subtitles),https://www.youtube.com/watch?v=DgTReERU7Bw,Module 7:  Challenges and Triumphs,7.3 ENGLISH SPEECH | KAMALA HARRIS: Victory Speech (English Subtitles),12th,English/Hindi
1801,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | BRITISH ROYAL FAMILY: The Royal Foundation (English Subtitles),https://www.youtube.com/watch?v=4u71aIcrxtQ,Module 8:  United We Stand,8.1 ENGLISH SPEECH | BRITISH ROYAL FAMILY: The Royal Foundation (English Subtitles),12th,English/Hindi
1802,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | JOE BIDEN: Victory Speech (English Subtitles),https://www.youtube.com/watch?v=N_H7qoPLOYU,Module 8:  United We Stand,8.2 ENGLISH SPEECH | JOE BIDEN: Victory Speech (English Subtitles),12th,English/Hindi
1803,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | RONALD REAGAN: Tear Down This Wall! (English Subtitles),https://www.youtube.com/watch?v=iStBvF0ALUc,Module 8:  United We Stand,8.3 ENGLISH SPEECH | RONALD REAGAN: Tear Down This Wall! (English Subtitles),12th,English/Hindi
1804,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | BILL CLINTON: We're Bound (English Subtitles),https://www.youtube.com/watch?v=MgeynGHmA2s,Module 9:   Shaping Tomorrow,9.1 ENGLISH SPEECH | BILL CLINTON: We're Bound (English Subtitles),12th,English/Hindi
