Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
6728,Urban Planning,Sem-6_Urban Transportation Planning (UTP),55hrs 13min,Lec-01_Urban Transportation & Development History| Urban Transportation Planning | Civil Engineering,https://www.youtube.com/watch?v=1tURiB97Klw,Module 1: Introduction to Urban Transportation Planning,1
6729,Urban Planning,Sem-6_Urban Transportation Planning (UTP),,Lec-02_Objectives & Goals of TP & Terminologies| Urban Transportation Planning |Civil Engineering,https://www.youtube.com/watch?v=d6pFDkKn0lQ,Module 1: Introduction to Urban Transportation Planning,1
6730,Urban Planning,Sem-6_Urban Transportation Planning (UTP),,Lec-03_Process & Levels of Transportation Planning| Urban Transportation Planning |Civil Engineering,https://www.youtube.com/watch?v=oTDxM5mv-88,Module 1: Introduction to Urban Transportation Planning,1
6731,Urban Planning,Sem-6_Urban Transportation Planning (UTP),,Lec-04_Urban Class Group & Impacts of Transportation| Urban Trans. Planning |Civil Engineering,https://www.youtube.com/watch?v=PtI-BlmhcZE,Module 1: Introduction to Urban Transportation Planning,1
6732,Urban Planning,Sem-6_Urban Transportation Planning (UTP),,Lec-05_Urbanization | Urban Transportation Planning | Civil Engineering,https://www.youtube.com/watch?v=TSpiXkdKpN4,Module 2: Urban Form and Transportation Planning,2
6733,Urban Planning,Sem-6_Urban Transportation Planning (UTP),,Lec-06_Urban form and Urban Structure | Urban Transportation Planning | Civil Engineering,https://www.youtube.com/watch?v=RwLG3ENuDvs,Module 2: Urban Form and Transportation Planning,2
6734,Urban Planning,Sem-6_Urban Transportation Planning (UTP),,Lec-07_Comprehensive Plan & TSM Planning | Urban Transportation Planning | Civil Engineering,https://www.youtube.com/watch?v=RBC7tipdD9U,Module 2: Urban Form and Transportation Planning,2
6735,Urban Planning,Sem-6_Urban Transportation Planning (UTP),,Lec-08_Concept of Travel Demand| Urban Transportation Planning | Civil Engineering,https://www.youtube.com/watch?v=o41amZ3Fd_A,Module 3: Travel Demand Analysis,3
6736,Urban Planning,Sem-6_Urban Transportation Planning (UTP),,Lec-09_Travel Demand Function | Urban Transportation Planning | Civil Engineering,https://www.youtube.com/watch?v=_Z3xL5s3zxA,Module 3: Travel Demand Analysis,3
6737,Urban Planning,Sem-6_Urban Transportation Planning (UTP),,Lec-10_Rail Based Transit system| Urban Transportation Planning | Civil Engineering,https://www.youtube.com/watch?v=VATI0tNhETw,Module 3: Travel Demand Analysis,3
6738,Urban Planning,Sem-6_Urban Transportation Planning (UTP),,Lec-11_Road Based Transit & Bus Route Planning | Urban Transportation Planning | Civil Engineering,https://www.youtube.com/watch?v=FN2cFoAHaKM,Module 3: Travel Demand Analysis,3
6739,Urban Planning,Sem-6_Urban Transportation Planning (UTP),,Lec-12_Mass Transit Coordination & Capacity of Rapid Transit | Urban Transportation Planning | Civil,https://www.youtube.com/watch?v=Io1chUm4QAM,Module 4: Urban Transit Systems,4
