Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module
7579,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,10hrs 14min,Statistics For Data Analytics | Complete Syllabus | Data Science | Statistics Tutorial  | Part 1,https://www.youtube.com/watch?v=o7WkGYIPUM8,Module 1: Introduction to Statistics
7580,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,Types of Statistics | Descriptive | Inferential | Statistics for Data Science | Statistics Tutorial,https://www.youtube.com/watch?v=kWnHqLJAOj8,Module 1: Introduction to Statistics
7581,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,Types of Data | Types of Variables | Statistics for Data Science | Part 3 | Statistics Tutorial,https://www.youtube.com/watch?v=x--w92bBYeM,Module 1: Introduction to Statistics
7582,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,Population and Sample | Statistics for Data Science | Part 4 | Statistics Tutorial,https://www.youtube.com/watch?v=PFMfNJiqt-s,Module 1: Introduction to Statistics
7583,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,Sampling Techniques | Statistics for Data Science | Statistics Tutorial Part 5,https://www.youtube.com/watch?v=czMKjcx-s_A,Module 2: Data Collection and Sampling
7584,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,Statistical Data Analysis Complete Steps | Statistics for Data Science | Statistics Tutorial Part 6,https://www.youtube.com/watch?v=3xcf6KacLqQ,Module 2: Data Collection and Sampling
7585,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,"Measures of Central Tendency | Mean, Median, Mode | Statistics Tutorial Part 7",https://www.youtube.com/watch?v=1Aj4pdvQlO4,Module 2: Data Collection and Sampling
7586,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,"Measures of Dispersion | Variance, Standard Deviation, Range,  IQR, Quartiles, Percentiles | Part 8",https://www.youtube.com/watch?v=TLRKawtvC1Q,Module 3: Descriptive Statistics
7587,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,Frequency | Relative Frequency | Cumulative Frequency | Statistics Tutorial Part 9,https://www.youtube.com/watch?v=9w6X7Q2s1HY,Module 3: Descriptive Statistics
7588,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,Must know Visualization in Statistics | Descriptive Statistics | Ultimate Guide !! | Part 10,https://www.youtube.com/watch?v=yC529Il5pBY,Module 3: Descriptive Statistics
7589,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,Outliers | Removing Outliers | Outliers detection | Impact on Data Analysis | Statistics Tutorial,https://www.youtube.com/watch?v=Ll-8BicPVHs,Module 3: Descriptive Statistics
7590,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,Correlation | Covariance | Causation | Difference between them | Statistics,https://www.youtube.com/watch?v=L5pAob9FbVA,Module 4: Data Visualization and Outlier Analysis
7591,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,Probability Concepts for Data Analysis and Data Science | Statistics for Data Science,https://www.youtube.com/watch?v=JwYTiKY9Fcc,Module 4: Data Visualization and Outlier Analysis
7592,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,Types of Events | Probability | Statistics Tutorial | Joint | Disjoint | Independent | Dependent,https://www.youtube.com/watch?v=FvjQlu715qs,Module 5: Correlation and Probability
7593,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,Conditional Probability | Statistics Tutorial,https://www.youtube.com/watch?v=UU9qMzBChu4,Module 5: Correlation and Probability
7594,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,Bayes Theorem | Conditional Probability | Statistics Tutorial,https://www.youtube.com/watch?v=s37adv0XH1Q,Module 5: Correlation and Probability
7595,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,PMF | PDF | Probability Distributions | Probability Mass Function | Probability Density Function,https://www.youtube.com/watch?v=7aQnI6mrWOo,Module 6: Probability Distributions
7596,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,Bernoulli Distributions | Binomial Distributions | Discrete Probability Distributions,https://www.youtube.com/watch?v=om2mxZa7Gg0,Module 6: Probability Distributions
7597,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,Uniform Distribution | Continuous Distribution | Statistics Tutorial | Probability Distribution,https://www.youtube.com/watch?v=Ry3Lwf3Oa08,Module 6: Probability Distributions
7598,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,Normal Distributions | Standard Normal Distributions | Z Distributions | Z Score,https://www.youtube.com/watch?v=K_JGWIIW2ro,Module 7: Normal Distribution and Standardization
7599,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,Standardisation | Normalisation | Probability Distributions | Feature Scaling,https://www.youtube.com/watch?v=pVxB2EoKFT4,Module 7: Normal Distribution and Standardization
7600,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,Empirical Rule | 68-95-99.7 Rule | Normal Distributions | Statistics Tutorial,https://www.youtube.com/watch?v=Cvy0CUbEO-M,Module 7: Normal Distribution and Standardization
7601,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,Inferential Statistics | Point Estimation | Interval Estimation | Statistics Tutorial,https://www.youtube.com/watch?v=e5VatK2AdiI,Module 8: Inferential Statistics
7602,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,Confidence Interval | Interval Estimation | Margin of Error | Statistics Tutorial,https://www.youtube.com/watch?v=c4Ag9_wJUnI,Module 8: Inferential Statistics
7603,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,Student's T Distribution | Z Distribution | T test | Statistics Tutorial,https://www.youtube.com/watch?v=OdJBsoKLzks,Module 8: Inferential Statistics
7604,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,Hypothesis Testing| Null and Alternate Hypothesis | Level of Significance | P Value | Statistics,https://www.youtube.com/watch?v=_EhHsdCpd9Y,Module 8: Inferential Statistics
7605,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,Type 1 and Type 2 Error | Hypothesis Error | Statistics Error,https://www.youtube.com/watch?v=OWoOGOSMthQ,Module 9: Hypothesis Testing
7606,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,One tailed and Two tailed Tests | Hypothesis Testing | Detailed Explanation with Example,https://www.youtube.com/watch?v=SRWS48t46SI,Module 9: Hypothesis Testing
7607,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,Z Test hypothesis Testing | Types of Z Test | Explanation with example | Statistics,https://www.youtube.com/watch?v=4sQACemTJxI,Module 9: Hypothesis Testing
7608,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,Complete STATISTICS for Data Science | Data Analysis | Full Crash Course,https://www.youtube.com/watch?v=S7LvZZNq4ys,Module 9: Hypothesis Testing
7609,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,Statistics Project On Hypothesis Testing You NEED In Your Portfolio | Data Analysis Project,https://www.youtube.com/watch?v=fNdUIzq8sb0,Module 10: Statistics in Data Science
7610,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,T Test Hypothesis Testing | Independent and Paired T Test | Statistics Tutorial,https://www.youtube.com/watch?v=MoVYYVIe_KU,Module 10: Statistics in Data Science
