Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
5234,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,140hrs 12min,Introduction to Surveying | Lec 1 | Surveying | GATE CE Exam | Kshitij Sir,https://www.youtube.com/watch?v=NFESMeh_gU4
5235,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,"Classification, Types and Objective of Surveying | Lec 2 | Surveying | GATE CE Exam | Kshitij Sir",https://www.youtube.com/watch?v=AlK1VMWp5JU
5236,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,"Principles of Surveying, Linear Measurement | Lec 3 | Surveying | GATE CE Exam | Kshitij Sir",https://www.youtube.com/watch?v=NuK_7BDzr5E
5237,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,Chain and Tape Surveying | Lec 4 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=3pH4udRATjI
5238,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,Corrections for Tape Surveying | Lec 5 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=wAN7DRKSXxk
5239,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,Limiting Length of Offset | Lec 6 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=4AZ55j3C5UU
5240,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,Compass Surveying: Important Terminology | Lec 7 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=ZYt7ot5DdAk
5241,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,Designation of Bearings | Lec 8 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=FH3Q9RGPLjk
5242,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,Magnetic Declination: Concept and Numerical | Lec 9 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=2tXHwmFeZh4
5243,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,Local Attraction | Lec 10 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=UiYWP6Nvp6s
5244,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,Correction for Local Attraction  | Lec 11 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=f2Os6yWTSAg
5245,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,Traverse Surveying  | Lec 12 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=s75woQo5cmE
5246,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,latitude and departure  | Lec 13 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=E2o8UYsYFE0
5247,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,Closing Error of Traverse | Lec 14 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=v3BzWWG37p0
5248,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,Levelling- Basic Terminology  | Lec 15 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=cYhK6JG3r_Y
5249,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,Height of Instrument & Rise and Fall Method | Lec 16 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=65r2tSP6LbQ
5250,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,Sensitivity of Level tube | Lec 17 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=OhSd8rRPbXM
5251,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,Geodetic Levelling | Lec 18 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=Zx4kZuUQ7GQ
5252,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,Sensitivity of Level Tube | Lec 19 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=9QrB7_MeCf4
5253,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,Recripocal Levelling | Lec 20 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=h7eBHW6VdFw
5254,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,Contours  | Lec 21 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=SMg-F3YcASY
