Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
515,Robotics,Artificial intelligence and Robotics,775hrs 23min,Complete AI Artificial Intelligence in One Shot (5 Hours) | In Hindi,https://www.youtube.com/watch?v=y39OlGrVFD8,Module 1: Introduction to AI,1,12th,English/Hindi
516,Robotics,Artificial intelligence and Robotics,,A* Algorithm Explained In The Easiest And Quickest Way Ever With Example (HINDI),https://www.youtube.com/watch?v=Nlza5QCj-mg,Module 1: Introduction to AI,1,12th,English/Hindi
517,Robotics,Artificial intelligence and Robotics,,Greedy Best First Search And Admissible Heuristic (HINDI),https://www.youtube.com/watch?v=O9Bp5O2aeu0,Module 1: Introduction to AI,1,12th,English/Hindi
518,Robotics,Artificial intelligence and Robotics,,Best First Search (BFS) Easiest Explanation Ever With Example (HINDI),https://www.youtube.com/watch?v=zE3eNFFSepQ,Module 1: Introduction to AI,1,12th,English/Hindi
519,Robotics,Artificial intelligence and Robotics,,Artificial Intelligence : Forward & Backward Chaining Easiest Explanation Ever! (HINDI),https://www.youtube.com/watch?v=62ssjzQdzIs,Module 2: Search Algorithms,2,12th,English/Hindi
520,Robotics,Artificial intelligence and Robotics,,Artificial Intelligence : Acting Humanly & Rationally ll Thinking Humanly & Rationally (HINDI),https://www.youtube.com/watch?v=aStninMO6E8,Module 2: Search Algorithms,2,12th,English/Hindi
521,Robotics,Artificial intelligence and Robotics,,"Depth First Search(DFS),Depth Bounded DFS,Depth First Iterative Deepening (HINDI)",https://www.youtube.com/watch?v=XBZYRIQhTeE,Module 2: Search Algorithms,2,12th,English/Hindi
522,Robotics,Artificial intelligence and Robotics,,Hill Climbing Algorithm Explained ll Artificial Intelligence With Performance Measures,https://www.youtube.com/watch?v=geVICx-o3Qo,Module 2: Search Algorithms,2,12th,English/Hindi
523,Robotics,Artificial intelligence and Robotics,,"Limitations Of Hill Climbing Algorithm ll Local Maxima, Plateau, Ridge Explained (HINDI)",https://www.youtube.com/watch?v=nICLY0UlTI0,Module 3: Hill Climbing & Goal Trees,3,12th,English/Hindi
524,Robotics,Artificial intelligence and Robotics,,Steepest Ascent Hill Climbing In Artificial Intelligence Explained (HINDI),https://www.youtube.com/watch?v=eSlxImRzDtA,Module 3: Hill Climbing & Goal Trees,3,12th,English/Hindi
525,Robotics,Artificial intelligence and Robotics,,"Goal Tree ll Problem Decomposition In Artificial Intelligence, AND OR Tree Explained (HINDI)",https://www.youtube.com/watch?v=sDDdpvbrN2o,Module 3: Hill Climbing & Goal Trees,3,12th,English/Hindi
526,Robotics,Artificial intelligence and Robotics,,Expert System Architecture In Artificial Intelligence Explained (HINDI),https://www.youtube.com/watch?v=LhqjTyGj7lk,Module 4: Expert Systems & Planning,4,12th,English/Hindi
527,Robotics,Artificial intelligence and Robotics,,"Goal Stack Planning ll Pickup, Putdown,Stack,Unstack,Precondition And Actions Explained With Example",https://www.youtube.com/watch?v=WlG0H0u8aCg,Module 4: Expert Systems & Planning,4,12th,English/Hindi
528,Robotics,Artificial intelligence and Robotics,,Goal Stack Planning Implementation Explained With Example In Artificial Intelligence (HINDI),https://www.youtube.com/watch?v=kHwjlOZe_jY,Module 4: Expert Systems & Planning,4,12th,English/Hindi
529,Robotics,Artificial intelligence and Robotics,,Introduction To Natural Language Processing In Artificial Intelligence (HINDI),https://www.youtube.com/watch?v=FSOjcswEcgQ,Module 5: Natural Language Processing,5,12th,English/Hindi
530,Robotics,Artificial intelligence and Robotics,,Components Of Natural Language Processing In Artificial Intelligence (HINDI),https://www.youtube.com/watch?v=RKubB5_i4Ks,Module 5: Natural Language Processing,5,12th,English/Hindi
531,Robotics,Artificial intelligence and Robotics,,Levels/Phases Of Natural Language Processing In Artificial Intelligence (HINDI),https://www.youtube.com/watch?v=mrEmHn-hFDI,Module 5: Natural Language Processing,5,12th,English/Hindi
532,Robotics,Artificial intelligence and Robotics,,Introduction To Information Retrieval System [Artificial Intelligence] (HINDI),https://www.youtube.com/watch?v=hhqodj7rrhY,Module 5: Natural Language Processing,5,12th,English/Hindi
533,Robotics,Artificial intelligence and Robotics,,Statistical Processing Of Natural Language Processing In Artificial Intelligence (HINDI),https://www.youtube.com/watch?v=o93Qk9uqMD0,Module 6: Information Retrieval,6,12th,English/Hindi
534,Robotics,Artificial intelligence and Robotics,,Big Data Information Retrieval Challenges Explained In Hindi,https://www.youtube.com/watch?v=znZdfvfarpE,Module 6: Information Retrieval,6,12th,English/Hindi
535,Robotics,Artificial intelligence and Robotics,,N-Gram And Stop Words In Artificial Intelligence Explained In Hindi,https://www.youtube.com/watch?v=wo9OHUDsP-Y,Module 6: Information Retrieval,6,12th,English/Hindi
536,Robotics,Artificial intelligence and Robotics,,Learning Agent Architecture In Artificial Intelligence Explained In Hindi,https://www.youtube.com/watch?v=yfsaJJLNBXk,Module 7: Learning Agents,7,12th,English/Hindi
537,Robotics,Artificial intelligence and Robotics,,Supervised Learning In Artificial Intelligence Explained in Hindi,https://www.youtube.com/watch?v=WtmL_MRwtMM,Module 7: Learning Agents,7,12th,English/Hindi
538,Robotics,Artificial intelligence and Robotics,,Unsupervised Learning And Reinforcement Learning In Artificial Intelligence Explained In Hindi,https://www.youtube.com/watch?v=qbCC4B5YsbU,Module 7: Learning Agents,7,12th,English/Hindi
539,Robotics,Artificial intelligence and Robotics,,PEAS In Artificial Intelligence Explained With Example In Hindi,https://www.youtube.com/watch?v=yziJQTI9hHU,Module 7: Learning Agents,7,12th,English/Hindi
540,Robotics,Artificial intelligence and Robotics,,Introduction To Artificial Neural Network Explained In Hindi,https://www.youtube.com/watch?v=8eaORgKmmh4,Module 8: Artificial Neural Networks,8,12th,English/Hindi
541,Robotics,Artificial intelligence and Robotics,,"Activation Function Part-1l Linear,Heviside Step,Sigmoid Functions Explained In Hindi",https://www.youtube.com/watch?v=K3c2QytXqwU,Module 8: Artificial Neural Networks,8,12th,English/Hindi
542,Robotics,Artificial intelligence and Robotics,,Feed Forward Network In Artificial Neural Network Explained In Hindi,https://www.youtube.com/watch?v=svZBH0_qSt0,Module 8: Artificial Neural Networks,8,12th,English/Hindi
543,Robotics,Artificial intelligence and Robotics,,Feedback Network In Artificial Neural Network Explained In Hindi,https://www.youtube.com/watch?v=krAQIFzSIFQ,Module 8: Artificial Neural Networks,8,12th,English/Hindi
544,Robotics,Artificial intelligence and Robotics,,What Is Robotics ll Explained with Advantages And Limitations in Hindi,https://www.youtube.com/watch?v=cjCmiXS6JwQ,Module 9: Introduction to Robotics,9,12th,English/Hindi
545,Robotics,Artificial intelligence and Robotics,,Path Planning For Point Robot ll Bug2 Algorithm Explained with Examples in Hindi,https://www.youtube.com/watch?v=jLlIs-n6Osw,Module 9: Introduction to Robotics,9,12th,English/Hindi
546,Robotics,Artificial intelligence and Robotics,,Hierarchical Paradigm in Robotics ll Sense-Plan-Act ll Explained in Hindi,https://www.youtube.com/watch?v=KdsLGhynb5o,Module 10: Robot Architectures,10,12th,English/Hindi
547,Robotics,Artificial intelligence and Robotics,,"Components Of Mobile Robot ll Locomotion,Sensing,Reasoning,Communication Explained in Hindi",https://www.youtube.com/watch?v=Qwqp_HrGK7I,Module 10: Robot Architectures,10,12th,English/Hindi
548,Robotics,Artificial intelligence and Robotics,,Horizontal/Functional Decomposition in Robotics Explained in Hindi,https://www.youtube.com/watch?v=09XOdQi0D_A,Module 10: Robot Architectures,10,12th,English/Hindi
549,Robotics,Artificial intelligence and Robotics,,Vertical/Behavioural Decomposition In Robotics Explained in Hindi,https://www.youtube.com/watch?v=f08jhkccxzI,Module 10: Robot Architectures,10,12th,English/Hindi
550,Robotics,Artificial intelligence and Robotics,,"Hybrid Control Architecture in Robotics ll PLAN,SENSE-ACT ll Explained in Hindi",https://www.youtube.com/watch?v=Dunce4HhZGg,Module 11: Robot Sensors,11,12th,English/Hindi
551,Robotics,Artificial intelligence and Robotics,,Contact Sensors in Robotics ll Bumper and Tactile Explained in Hindi,https://www.youtube.com/watch?v=KtZYhZS-yAs,Module 11: Robot Sensors,11,12th,English/Hindi
552,Robotics,Artificial intelligence and Robotics,,Infrared Sensors Explained in 5 Minutes in Hindi,https://www.youtube.com/watch?v=IW0oMtvo7LE,Module 12: Localization and Mapping,12,12th,English/Hindi
553,Robotics,Artificial intelligence and Robotics,,What is Localization ll Robotics ll Localization Classification Explained in Hindi,https://www.youtube.com/watch?v=QZ78V1CRWkw,Module 12: Localization and Mapping,12,12th,English/Hindi
554,Robotics,Artificial intelligence and Robotics,,What is Landmark ll Robotics ll Landmark Classes Explained in Hindi,https://www.youtube.com/watch?v=aLnAVBdzZdk,Module 12: Localization and Mapping,12,12th,English/Hindi
555,Robotics,Artificial intelligence and Robotics,,What is Mapping ll Robotics ll Metric Map and Topological Map Explained in Hindi,https://www.youtube.com/watch?v=BhuIOQ9hkJc,Module 12: Localization and Mapping,12,12th,English/Hindi
556,Robotics,Artificial intelligence and Robotics,,"Represention Of Map Information ll Sensorial, Geometric, Local Relational, Topology, Semantic",https://www.youtube.com/watch?v=6lRvKGoW2es,Module 13: Robotics Applications,13,12th,English/Hindi
