Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,Minimum Education,Language
9082,Environmental Science,Renewable Energy,31hrs 16min,L-1|Introduction|Renewable Energy|Renewable sources of Energy for ESE|UPSC|ESE previous Years|UPPSC,https://www.youtube.com/watch?v=roxuawcqzCA,Module 1: Introduction to Renewable Energy,12th,English/Hindi
9083,Environmental Science,Renewable Energy,,L-2|Solar Energy|Renewable Energy for ESE|Basics of Solar Energy|UPSC|ESE|ESE 2021,https://www.youtube.com/watch?v=y90S2OqfjEQ,Module 1: Solar Energy Fundamentals,12th,English/Hindi
9084,Environmental Science,Renewable Energy,,L-3|Solar Angles|Latitude|Longitudes|Meridian|Hour Angle|Inclination|Zenith|Solar Constant|ESE|UPSC,https://www.youtube.com/watch?v=MhpwL3pn1oo,Module 1: Solar Thermal Energy,12th,English/Hindi
9085,Environmental Science,Renewable Energy,,L-4|Solar Thermal Energy Collector| Absorber Plate|Coating|Binder|Riser Tube|Solar Collector parts,https://www.youtube.com/watch?v=J4sWD0vOMTs,Module 1: Solar Energy Applications,12th,English/Hindi
9086,Environmental Science,Renewable Energy,,L-5|Solar Collector|Types Of Sollar Collector|Focusing type|Non Focusing Type|Flat Plate Collector,https://www.youtube.com/watch?v=zeH01GJxalI,Module 2: Wind and Biomass Energy,12th,English/Hindi
9087,Environmental Science,Renewable Energy,,L-6|Materials of solar Collector Elements|Elbido|Air Mass Flow|Tilt Factor|Evacuated tube collector,https://www.youtube.com/watch?v=tcgtITLnzs8,Module 2: Advanced Solar Technologies,12th,English/Hindi
9088,Environmental Science,Renewable Energy,,L-7|Solar Tracker|Solar Radiation Measuring Devices|Fresnel Lens|Heat Pipe|Heliostat|Selectivity,https://www.youtube.com/watch?v=LX4f27TfEIo,Module 2: Fuel Cells and Tidal Energy,12th,English/Hindi
9089,Environmental Science,Renewable Energy,,L-8|Solar Thermal Energy Collection|Sensible Heat Storage|Latent Heat storage|Thermo chemical Energy,https://www.youtube.com/watch?v=pzzgRbw8wj4,Module 2: Renewable Energy Systems,12th,English/Hindi
9090,Environmental Science,Renewable Energy,,L-9|Solar Cell|Solar panel|Fill Factor|Renewable Energy for ESE|Solar Module|Solar Cell Working|ESE,https://www.youtube.com/watch?v=I5qY9G8aWTA,Module 2: Renewable Energy Systems,12th,English/Hindi
9091,Environmental Science,Renewable Energy,,Lec-10|Wind Energy|ESE|Types |Yaw Control|TSR|Limitations|Turbine Blade|Nacelle|cutoff speed,https://www.youtube.com/watch?v=o2StwP4-AmA,Module 2: Renewable Energy Systems,12th,English/Hindi
9092,Environmental Science,Renewable Energy,,Lec-11|Biomass Energy|Bio mass|Extraction Method|Limitations of Various Methods|Fuel Combustion|ESE,https://www.youtube.com/watch?v=5cQD_xZph9U,Module 2: Renewable Energy Systems,12th,English/Hindi
9093,Environmental Science,Renewable Energy,,L-12|Fuel Cell|Types of Fuel Cell|Tidal Energy|MHD|Magneto Hydro Dynamics|Principle|Working|Tide|ESE,https://www.youtube.com/watch?v=ypA2c4b6qfo,Module 2: Renewable Energy Systems,12th,English/Hindi
