Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module
283,Computer Science Engineering,Algorithms,29hrs 13min,1. Introduction to Algorithms,https://www.youtube.com/watch?v=0IAPZzGSbME,Module 1: Introduction to Algorithms
284,Computer Science Engineering,Algorithms,,1.1 Priori Analysis and Posteriori Testing,https://www.youtube.com/watch?v=-JTq1BFBwmo,Module 1: Introduction to Algorithms
285,Computer Science Engineering,Algorithms,,1.2 Characteristics of Algorithm,https://www.youtube.com/watch?v=FbYzBWdhMb0,Module 1: Introduction to Algorithms
286,Computer Science Engineering,Algorithms,,1.3 How Write and Analyze Algorithm,https://www.youtube.com/watch?v=xGYsEqe9Vl0,Module 1: Introduction to Algorithms
287,Computer Science Engineering,Algorithms,,1.4 Frequency Count Method,https://www.youtube.com/watch?v=1U3Uwct45IY,Module 1: Introduction to Algorithms
288,Computer Science Engineering,Algorithms,,1.5.1 Time Complexity #1,https://www.youtube.com/watch?v=9TlHvipP5yA,Module 1: Introduction to Algorithms
289,Computer Science Engineering,Algorithms,,1.5.2 Time Complexity Example #2,https://www.youtube.com/watch?v=9SgLBjXqwd4,Module 1: Introduction to Algorithms
290,Computer Science Engineering,Algorithms,,1.5.3 Time Complexity of While and if #3,https://www.youtube.com/watch?v=p1EnSvS3urU,Module 1: Introduction to Algorithms
291,Computer Science Engineering,Algorithms,,1.6 Classes of functions,https://www.youtube.com/watch?v=w7t4_JUUTeg,Module 1: Introduction to Algorithms
292,Computer Science Engineering,Algorithms,,1.7 Compare Class of Functions,https://www.youtube.com/watch?v=5v-tKX2uRAk,Module 1: Introduction to Algorithms
293,Computer Science Engineering,Algorithms,,1.8.1 Asymptotic Notations Big Oh - Omega - Theta #1,https://www.youtube.com/watch?v=A03oI0znAoc,Module 1: Introduction to Algorithms
294,Computer Science Engineering,Algorithms,,1.8.2 Asymptotic Notations - Big Oh - Omega - Theta #2,https://www.youtube.com/watch?v=Nd0XDY-jVHs,Module 1: Introduction to Algorithms
295,Computer Science Engineering,Algorithms,,1.9 Properties of Asymptotic Notations,https://www.youtube.com/watch?v=NI4OKSvGAgM,Module 1: Introduction to Algorithms
296,Computer Science Engineering,Algorithms,,1.10.1 Comparison of Functions #1,https://www.youtube.com/watch?v=mwN18xfwNhk,Module 1: Introduction to Algorithms
297,Computer Science Engineering,Algorithms,,1.10.2 Comparison of Functions #2,https://www.youtube.com/watch?v=WlBBTSL0ZRc,Module 1: Introduction to Algorithms
298,Computer Science Engineering,Algorithms,,1.11 Best Worst and Average Case Analysis,https://www.youtube.com/watch?v=lj3E24nnPjI,Module 1: Introduction to Algorithms
299,Computer Science Engineering,Algorithms,,1.12 Disjoint Sets Data Structure - Weighted Union and Collapsing Find,https://www.youtube.com/watch?v=wU6udHRIkcc,Module 2: Divide and Conquer
300,Computer Science Engineering,Algorithms,,2 Divide And Conquer,https://www.youtube.com/watch?v=2Rr2tW9zvRg,Module 2: Divide and Conquer
301,Computer Science Engineering,Algorithms,,2.1.1 Recurrence Relation (T(n)= T(n-1) + 1) #1,https://www.youtube.com/watch?v=4V30R3I1vLI,Module 2: Divide and Conquer
302,Computer Science Engineering,Algorithms,,2.1.2 Recurrence Relation (T(n)= T(n-1) + n) #2,https://www.youtube.com/watch?v=IawM82BQ4II,Module 2: Divide and Conquer
303,Computer Science Engineering,Algorithms,,2.1.3 Recurrence Relation (T(n)= T(n-1) + log n) #3,https://www.youtube.com/watch?v=MhT7XmxhaCE,Module 2: Divide and Conquer
304,Computer Science Engineering,Algorithms,,2.1.4 Recurrence Relation T(n)=2 T(n-1)+1  #4,https://www.youtube.com/watch?v=JvcqtZk2mng,Module 2: Divide and Conquer
305,Computer Science Engineering,Algorithms,,2.2 Masters Theorem Decreasing Function,https://www.youtube.com/watch?v=CyknhZbfMqc,Module 2: Divide and Conquer
306,Computer Science Engineering,Algorithms,,2.3.1 Recurrence Relation Dividing Function T(n)=T(n/2)+1 #1,https://www.youtube.com/watch?v=8gt0D0IqU5w,Module 2: Divide and Conquer
307,Computer Science Engineering,Algorithms,,2.3.2 Recurrence Relation Dividing [ T(n)=T(n/2)+ n].   #2,https://www.youtube.com/watch?v=XcZw01FuH18,Module 2: Divide and Conquer
308,Computer Science Engineering,Algorithms,,2.3.3 Recurrence Relation [ T(n)= 2T(n/2) +n]  #3,https://www.youtube.com/watch?v=1K9ebQJosvo,Module 2: Divide and Conquer
309,Computer Science Engineering,Algorithms,,2.4.1 Masters Theorem in Algorithms for Dividing Function #1,https://www.youtube.com/watch?v=OynWkEj0S-s,Module 2: Divide and Conquer
310,Computer Science Engineering,Algorithms,,2.4.2 Examples for Master Theorem #2,https://www.youtube.com/watch?v=kGcO-nAm9Vc,Module 2: Divide and Conquer
