Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
2423,Law,Public International Law,23hrs 8min,Introduction to International Law | Public International Law,https://www.youtube.com/watch?v=fJxUanaVuzI,Module 1: Introduction to International Law,1,12th,English/Hindi
2424,Law,Public International Law,,Definitions and Meaning of International Law | Public International Law,https://www.youtube.com/watch?v=ywDSiU6FlI0,Module 1: Definitions and Meaning of International Law,1,12th,English/Hindi
2425,Law,Public International Law,,Public and Private International Law | Meaning and Differences,https://www.youtube.com/watch?v=PJ64ZKMrarc,Module 1: Public and Private International Law | Meaning and Differences,1,12th,English/Hindi
2426,Law,Public International Law,,Weaknesses of International Law | Public International Law,https://www.youtube.com/watch?v=hgqGfs_vJXA,Module 1: Weaknesses of International Law,1,12th,English/Hindi
2427,Law,Public International Law,,How to Strengthen International Law | Public International Law,https://www.youtube.com/watch?v=eE_oaBWziQk,Module 2: How to Strengthen International Law,2,12th,English/Hindi
2428,Law,Public International Law,,Is International Laws are True Laws? | Public International Law,https://www.youtube.com/watch?v=6c9nXy9hfj8,Module 2: Is International Laws are True Laws?,2,12th,English/Hindi
2429,Law,Public International Law,,International Law is Vanishing Point of Jurisprudence | Public International Law,https://www.youtube.com/watch?v=iFn3vIf7WqU,Module 2: International Law is Vanishing Point of Jurisprudence,2,12th,English/Hindi
2430,Law,Public International Law,,Sources of International Law | Public International Law,https://www.youtube.com/watch?v=Sxqv0W6Sgkc,Module 2: Sources of International Law,2,12th,English/Hindi
2431,Law,Public International Law,,International Conventions and Treaties | Sources of International Law | Public International Law,https://www.youtube.com/watch?v=XDbQrxb_kuQ,Module 3: International Conventions and Treaties,3,12th,English/Hindi
2432,Law,Public International Law,,Pacta Sunt Servanda | Public International Law,https://www.youtube.com/watch?v=HonjVusN_Q4,Module 3: Pacta Sunt Servanda,3,12th,English/Hindi
2433,Law,Public International Law,,Custom as Source of International Law | Public International Law,https://www.youtube.com/watch?v=oNOPl4v5yPg,Module 3: Custom as Source of International Law,3,12th,English/Hindi
2434,Law,Public International Law,,Opinio Juris Sive Necessitatis | Public International Law,https://www.youtube.com/watch?v=BV-FqTbFZzE,Module 3: Opinio Juris Sive Necessitatis,3,12th,English/Hindi
2435,Law,Public International Law,,Subjects of International Law | Public International Law,https://www.youtube.com/watch?v=UyW5C4vE44I,Module 4: Subjects of International Law,4,12th,English/Hindi
2436,Law,Public International Law,,Jus Soli and Jus Sanguinis | Public  International Law,https://www.youtube.com/watch?v=PZgEZS-ZDRs,Module 4: Jus Soli and Jus Sanguinis,4,12th,English/Hindi
2437,Law,Public International Law,,Nationality | Concept | Public International Law,https://www.youtube.com/watch?v=SB5AKousHBg,Module 4: Nationality | Concept,4,12th,English/Hindi
2438,Law,Public International Law,,Modes of Acquisition and loss of Nationality | Public International Law,https://www.youtube.com/watch?v=SlEP_W-4-Is,Module 4: Modes of Acquisition and loss of Nationality,4,12th,English/Hindi
2439,Law,Public International Law,,JUS SOLI & JUS SANGUINIS | Knowledge in a Minute | One Minute Video to Know a Concept,https://www.youtube.com/watch?v=jKb0SewdgDQ,Module 5: JUS SOLI & JUS SANGUINIS | Knowledge in a Minute,5,12th,English/Hindi
2440,Law,Public International Law,,Double Nationality and Statelessness | Public International Law,https://www.youtube.com/watch?v=rQyoZBQ9Ses,Module 5: Double Nationality and Statelessness,5,12th,English/Hindi
2441,Law,Public International Law,,Difference between Nationality and Citizenship | Public Internatinoal Law,https://www.youtube.com/watch?v=f4tjJqaoSlA,Module 5: Difference between Nationality and Citizenship,5,12th,English/Hindi
2442,Law,Public International Law,,Individuals and their place in International Law | Public International Law,https://www.youtube.com/watch?v=lIofid0zvGI,Module 5: Individuals and their place in International Law,5,12th,English/Hindi
2443,Law,Public International Law,,Relationship between International Law and Municipal Law | Theories | Public International Law,https://www.youtube.com/watch?v=-IMAd3uMBio,Module 6: Relationship between International Law and Municipal Law | Theories,6,12th,English/Hindi
2444,Law,Public International Law,,Conflict Theories of International Law and Municipal Law | Public International Law,https://www.youtube.com/watch?v=qfo7Htcl0lc,Module 6: Conflict Theories of International Law and Municipal Law,6,12th,English/Hindi
2445,Law,Public International Law,,State | Meaning | Qualities | Types | Public International Law,https://www.youtube.com/watch?v=kwYyCeRFV3A,Module 6: State | Meaning | Qualities | Types,6,12th,English/Hindi
2446,Law,Public International Law,,Rights and Duties of States | Public International Law,https://www.youtube.com/watch?v=0aTGOT34Cmw,Module 6: Rights and Duties of States,6,12th,English/Hindi
2447,Law,Public International Law,,Recognition | Meaning | Definition | Importance | Public International Law,https://www.youtube.com/watch?v=hGPmoXdoGeU,Module 7: Recognition | Meaning | Definition | Importance,7,12th,English/Hindi
2448,Law,Public International Law,,Types of Recognition | Public International Law,https://www.youtube.com/watch?v=RuoHhj4SUOE,Module 7: Types of Recognition,7,12th,English/Hindi
2449,Law,Public International Law,,Intervention | Meaning and Types | Public International Law,https://www.youtube.com/watch?v=q0Us6qwu6FE,Module 7: Intervention | Meaning and Types,7,12th,English/Hindi
