Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module
3335,Electrical Engineering,Electromagnetics Theory,37hrs 19min,"Basics of Vector, Resultant of Vectors, Law of Parallelogram, Law of Triangle & Law of Polygon",https://www.youtube.com/watch?v=vfu_mNbnHGM,Module 1: Introduction to Vectors and Vector Fields
3336,Electrical Engineering,Electromagnetics Theory,,"Dot Product of vectors, Cross Product of vectors & Properties of Dot Product and Cross Product",https://www.youtube.com/watch?v=G3RwhsZ4O4I,Module 1: Introduction to Vectors and Vector Fields
3337,Electrical Engineering,Electromagnetics Theory,,Cartesian Coordinate System and Projection of Vector,https://www.youtube.com/watch?v=8dR_o7LtDkw,Module 1: Introduction to Vectors and Vector Fields
3338,Electrical Engineering,Electromagnetics Theory,,"Gradient, Divergence and Curl of function",https://www.youtube.com/watch?v=TYOYID9gJxM,Module 1: Introduction to Vectors and Vector Fields
3339,Electrical Engineering,Electromagnetics Theory,,"Gauss Divergence Theorem, Proof of Gauss Divergence Theorem, Uses of Gauss Divergence Theorem",https://www.youtube.com/watch?v=_rKQP7f2tUw,Module 2: Vector Calculus: Del Operator and Theorems
3340,Electrical Engineering,Electromagnetics Theory,,"Stokes Theorem, Proof of Stokes Theorem, Physical significance of Stokes Theorem, #StokesTheorem",https://www.youtube.com/watch?v=D2eHgZ4kMHU,Module 2: Vector Calculus: Del Operator and Theorems
3341,Electrical Engineering,Electromagnetics Theory,,"Example based on Divergence Theorem, Verification of Divergence Theorem, #DivergenceTheorem",https://www.youtube.com/watch?v=rr2OEk5-vyY,Module 2: Vector Calculus: Del Operator and Theorems
3342,Electrical Engineering,Electromagnetics Theory,,"Example based on Stokes theorem, Verification of Stokes theorem, #StokesTheorem",https://www.youtube.com/watch?v=Q2rt62lV4Io,Module 2: Vector Calculus: Del Operator and Theorems
3343,Electrical Engineering,Electromagnetics Theory,,Cylindrical Coordinate System and Conversion of Cartesian point into Cylindrical point & Visa-versa,https://www.youtube.com/watch?v=OeENE7c9OaA,Module 2: Vector Calculus: Del Operator and Theorems
3344,Electrical Engineering,Electromagnetics Theory,,"Cartesian Vector to Cylindrical Vector Conversion, #CartesianVector, #CylindricalVector, #Conversion",https://www.youtube.com/watch?v=Ya1S1uqgYP4,Module 2: Vector Calculus: Del Operator and Theorems
3345,Electrical Engineering,Electromagnetics Theory,,"Cylindrical Coordinate System line, Surface, Volume, Gradient, Divergence and Curl Calculation",https://www.youtube.com/watch?v=K9RKh5Smrp4,Module 2: Vector Calculus: Del Operator and Theorems
3346,Electrical Engineering,Electromagnetics Theory,,"Spherical Coordinate System, Basics and Representation of Spherical Coordinate System",https://www.youtube.com/watch?v=Ta_i89A-Nkk,Module 2: Vector Calculus: Del Operator and Theorems
